gameId,onBlueTeam,blueWins,blueWardsPlaced,blueWardKills,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsterKills,blueDragonKills,blueHeraldKills,blueTowerKills,blueTotalGold,blueAvgLvl,blueTotalExp,blueTotalMinionsKilled,blueGoldDiff,blueExpDiff,onRedTeam,redWins,redWardsPlaced,redWardKills,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsterKills,redDragonKills,redHeraldKills,redTowerKills,redTotalGold,redAvgLvl,redTotalExp,redTotalMinionsKilled,redGoldDiff,redExpDiff
2951461044,0,0,17,0,0,2,12,4,0,0,0,0,18921,8.2,23107,216,-7897,-6505,1,1,18,2,1,12,2,14,1,1,0,1,26818,9.6,29612,310,7897,6505
2950637262,1,1,21,6,1,18,12,26,2,1,1,2,27818,8.8,27085,257,1639,753,0,0,23,6,0,12,18,20,1,1,0,1,26179,8.8,26332,279,-1639,-753
2950644349,1,0,16,3,1,15,11,15,1,1,0,1,27304,9,28739,292,3126,2189,0,1,15,2,0,11,15,7,0,0,0,0,24178,8.6,26550,275,-3126,-2189
2950633334,1,0,19,8,0,19,10,12,0,0,0,2,28330,9.6,30861,286,3115,4733,0,1,25,7,1,10,19,8,0,0,0,0,25215,8.6,26128,274,-3115,-4733
2950630558,0,1,19,1,1,10,5,8,2,1,1,4,24722,8.8,26587,225,-417,-2024,1,0,19,2,0,5,10,5,0,0,0,1,25139,9,28611,322,417,2024
2950609472,1,0,20,2,1,5,11,4,0,0,0,0,22635,8.8,28173,323,-1574,-993,0,1,22,4,0,11,5,12,1,1,0,0,24209,9.4,29166,305,1574,993
2950608237,1,0,15,2,0,15,11,19,2,2,0,1,26884,9.4,29522,306,-2106,-12,0,1,20,6,1,11,15,10,0,0,0,2,28990,9.2,29534,310,2106,12
2950596991,0,1,18,1,0,8,10,10,1,1,0,0,23407,9,28917,254,-2493,-1250,1,0,15,5,1,10,8,7,0,0,0,1,25900,9.4,30167,324,2493,1250
2950604654,0,0,22,4,0,7,9,4,0,0,0,1,23429,9.4,29000,343,-2026,-573,1,1,19,5,1,9,7,8,0,0,0,0,25455,9.2,29573,290,2026,573
2950612634,1,0,18,2,0,8,11,8,0,0,0,0,24279,9,28135,294,-1931,-1815,0,1,21,3,1,11,8,16,1,1,0,1,26210,9.2,29950,274,1931,1815
2950602134,0,1,20,3,0,19,11,19,0,0,0,3,31086,9.8,32142,326,6566,5615,1,0,15,3,1,11,19,15,0,0,0,0,24520,8.6,26527,281,-6566,-5615
2947450890,1,1,19,1,1,15,7,12,1,1,0,1,24673,9.2,30562,228,1070,1448,0,0,24,2,0,7,15,5,0,0,0,0,23603,9.4,29114,306,-1070,-1448
2947434329,0,0,17,0,0,7,12,6,0,0,0,1,23178,8.8,28272,288,-1545,-3662,1,1,17,1,1,12,7,10,1,1,0,0,24723,9.8,31934,270,1545,3662
2947415196,1,0,18,0,1,12,11,13,1,0,1,0,24478,9.2,28400,271,1707,823,0,1,18,3,0,11,12,5,1,1,0,0,22771,9,27577,259,-1707,-823
2928058753,0,0,20,2,1,6,5,5,0,0,0,0,21437,9,27682,278,722,-166,1,1,16,1,0,5,6,4,0,0,0,0,20715,9,27848,255,-722,166
2928058753,0,0,20,2,1,6,5,5,0,0,0,0,21437,9,27682,278,722,-166,1,1,16,1,0,5,6,4,0,0,0,0,20715,9,27848,255,-722,166
2928008218,0,1,18,2,1,10,11,9,0,0,0,3,26945,8.4,26122,302,2397,-1354,1,0,19,0,0,11,10,13,0,0,0,1,24548,9,27476,229,-2397,1354
2927988108,1,1,15,0,0,12,9,11,0,0,0,0,24514,9.4,30896,280,2614,4233,0,0,13,0,1,9,12,10,1,1,0,0,21900,8.8,26663,239,-2614,-4233
2917796757,1,0,11,0,0,14,10,11,0,0,0,0,23601,9.6,29381,231,684,1291,0,1,12,1,1,10,14,9,0,0,0,0,22917,8.8,28090,254,-684,-1291
2917766996,1,1,18,2,1,11,8,12,0,0,0,2,24690,9,28813,290,2864,2640,0,0,19,3,0,8,11,10,0,0,0,0,21826,8.8,26173,224,-2864,-2640
2917735309,0,0,23,3,0,6,11,6,1,1,0,0,20846,8.6,25718,277,-2300,-2856,1,1,15,3,1,11,6,10,0,0,0,1,23146,9.2,28574,268,2300,2856
2914691410,1,0,23,1,0,8,10,9,0,0,0,0,20715,8.8,27092,216,-1853,-2337,0,1,17,4,1,10,8,7,1,0,1,0,22568,9.4,29429,263,1853,2337
2908706168,1,0,19,1,0,8,13,4,1,1,0,0,21178,8.6,26418,250,-3797,-2014,0,1,16,2,1,13,8,13,0,0,0,1,24975,9,28432,332,3797,2014
2908686314,0,1,21,1,1,14,8,9,0,0,0,0,24473,9.6,31759,292,2907,5233,1,0,15,0,0,8,14,6,1,1,0,0,21566,8.8,26526,277,-2907,-5233
2907015778,0,1,25,3,0,8,9,8,1,1,0,2,25523,9.4,31008,333,2399,1203,1,0,13,1,1,9,8,9,0,0,0,0,23124,9.2,29805,303,-2399,-1203
2900947009,0,0,17,3,0,10,12,7,0,0,0,1,23461,8.8,27391,249,-1132,-776,1,1,16,3,1,12,10,11,0,0,0,1,24593,9,28167,303,1132,776
2900268641,1,1,14,0,1,13,6,17,1,1,0,1,23779,8.8,26687,206,3562,922,0,0,19,0,0,6,13,6,0,0,0,1,20217,8.6,25765,229,-3562,-922
2847468183,0,0,19,4,0,4,12,4,1,1,0,1,20805,8.6,25286,282,-4841,-6709,1,1,20,1,1,12,4,14,1,1,0,1,25646,9.8,31995,324,4841,6709
2847443770,1,1,20,3,1,15,9,15,1,1,0,2,26451,9,27501,297,5321,3664,0,0,24,4,0,9,15,14,0,0,0,0,21130,8.2,23837,238,-5321,-3664
2847435188,0,1,21,4,0,9,12,10,1,1,0,2,23070,8.2,24005,284,-300,-1764,1,0,15,1,1,12,9,17,1,0,1,0,23370,8.6,25769,246,300,1764
2847409791,1,1,21,4,1,17,12,18,1,1,0,1,27444,9.8,31253,338,2801,1616,0,0,21,3,0,12,17,13,0,0,0,0,24643,9.4,29637,265,-2801,-1616
3514104763,0,0,15,6,1,9,9,13,0,0,0,1,24158,9.2,27733,299,-500,-909,1,1,17,3,0,9,9,11,1,1,0,0,24658,9.0,28642,323,500,909
3514037259,0,1,24,7,1,8,2,9,1,0,1,1,25176,9.2,28390,342,5084,1871,1,0,18,3,0,2,8,4,2,2,0,0,20092,8.6,26519,276,-5084,-1871
3514032355,1,1,28,2,1,11,3,7,3,2,1,1,25577,9.2,29834,349,3714,1237,0,0,15,6,0,3,11,2,0,0,0,0,21863,8.8,28597,337,-3714,-1237
3513997742,1,0,19,2,0,7,8,8,1,0,1,0,22504,8.8,27490,305,-1975,-2813,0,1,17,0,1,8,7,5,2,2,0,0,24479,9.6,30303,361,1975,2813
3513971425,1,1,16,6,0,8,8,8,0,0,0,0,23884,9.0,28543,298,5,1,0,0,23,4,1,8,8,7,2,1,1,0,23879,9.2,28542,307,-5,-1
3511660969,0,1,15,6,1,9,13,7,2,1,1,1,23601,8.8,26247,285,-1519,-4258,1,0,24,5,0,13,9,14,1,1,0,0,25120,9.4,30505,305,1519,4258
3511584560,0,0,21,1,0,8,14,4,0,0,0,1,21110,8.2,25039,258,-6331,-3391,1,1,24,3,1,14,8,20,2,2,0,2,27441,9.0,28430,274,6331,3391
3511517002,0,0,20,5,1,10,13,11,1,0,1,1,23857,8.6,25918,252,9,-229,1,1,18,4,0,13,10,17,2,2,0,0,23848,8.6,26147,265,-9,229
3511419722,1,1,25,6,1,13,6,22,1,1,0,0,25396,9.2,28291,308,1284,435,0,0,25,6,0,6,13,4,2,1,1,1,24112,8.8,27856,320,-1284,-435
